scenario,period,applications,approvals,eligible_approved,ineligible_approved,application_rate,access_rate,exclusion_error,admin_exclusion_error,demand_gap,inclusion_error,avg_trust,avg_info,avg_monitoring,avg_service_quality,avg_congestion,territorial_inequality,delegated_share
delegated,5,266,176,120,56,0.44333333333333336,0.49382716049382713,0.5061728395061729,0.0,0.5061728395061729,0.3181818181818182,0.5646953913494821,0.5377728445785962,0.5157857850774856,0.38922069272047066,0.8525641025641026,0.02775793342573372,1.0
delegated,6,253,175,122,53,0.4216666666666667,0.5020576131687243,0.4979423868312757,0.0,0.49794238683127573,0.3028571428571429,0.5738744427573325,0.5531653007608344,0.5191104808230026,0.3763745314574649,0.8108974358974358,0.0800839995362238,1.0
delegated,7,281,181,135,46,0.4683333333333333,0.5555555555555556,0.4444444444444444,0.014598540145985401,0.43621399176954734,0.2541436464088398,0.5844984869995814,0.5699796430137939,0.5072619080059194,0.3650359454470562,0.9006410256410255,0.10161803300558293,1.0
delegated,8,257,181,127,54,0.42833333333333334,0.522633744855967,0.47736625514403297,0.0,0.4773662551440329,0.2983425414364641,0.5942084131892564,0.5850908475831801,0.5158079455348645,0.3566778749307886,0.8237179487179488,0.0541940689636909,1.0
delegated,9,279,186,137,49,0.465,0.5637860082304527,0.43621399176954734,0.0,0.43621399176954734,0.26344086021505375,0.6052557396534253,0.6004191923949105,0.5064416264406301,0.34866150065426504,0.8942307692307692,0.07633224722269183,1.0
delegated,10,285,180,132,48,0.475,0.5432098765432098,0.45679012345679015,0.007518796992481203,0.45267489711934156,0.26666666666666666,0.6155131077049681,0.6135702069914545,0.5047555154382042,0.34089961395632323,0.9134615384615383,0.0646045638442032,1.0
delegated,11,287,192,146,46,0.47833333333333333,0.6008230452674898,0.39917695473251025,0.0,0.3991769547325103,0.23958333333333334,0.6278032487641809,0.6272860980244055,0.501268431092165,0.3357432236085826,0.9198717948717948,0.047526656794263024,1.0
delegated,12,281,192,145,47,0.4683333333333333,0.5967078189300411,0.4032921810699589,0.03333333333333333,0.38271604938271603,0.24479166666666666,0.6396771621069605,0.6404942086885993,0.5020843437036725,0.3312375439478903,0.9006410256410257,0.05548206405856387,1.0
delegated,13,301,198,149,49,0.5016666666666667,0.6131687242798354,0.3868312757201646,0.013245033112582781,0.3786008230452675,0.2474747474747475,0.652437429337306,0.6529520160003741,0.4943793401714065,0.32714941824730887,0.9647435897435898,0.02842620295048647,1.0
delegated,14,344,192,152,40,0.5733333333333334,0.6255144032921811,0.3744855967078189,0.03184713375796178,0.35390946502057613,0.20833333333333334,0.6651653889644334,0.6645045638875189,0.4793261270891192,0.3197416829543544,1.1025641025641024,0.0776963414339832,1.0
