seed,scenario,applications_final,approvals_final,eligible_approved_final,ineligible_approved_final,access_rate_final,exclusion_error_final,inclusion_error_final,avg_trust_final,avg_info_final,avg_monitoring_final,avg_service_quality_final,avg_congestion_final,territorial_inequality_final,delegated_share_final,access_rate_mean,exclusion_error_mean,admin_exclusion_error_mean,demand_gap_mean,inclusion_error_mean,avg_trust_mean,avg_info_mean,avg_monitoring_mean,avg_service_quality_mean,avg_congestion_mean,territorial_inequality_mean,delegated_share_mean
8,delegated,397,197,182,15,0.6791044776119403,0.3208955223880597,0.0761421319796954,0.9225785395664474,0.838791006513733,0.4422842177740043,0.2888997847973265,1.2724358974358976,0.0450122832461613,1.0,0.6162313432835821,0.3837686567164179,0.0414118827297055,0.3528917910447761,0.1573985466870167,0.7443777959668193,0.7059889564822084,0.4774968407071364,0.3308547738026337,1.0746794871794871,0.0486335441850846,1.0
8,adaptive,409,198,187,11,0.6977611940298507,0.3022388059701493,0.0555555555555555,0.9210742321785698,0.8365926561934196,0.4388662983111466,0.2959219417711141,1.310897435897436,0.031282819249835,1.0,0.60625,0.39375,0.0255638939876784,0.3744402985074627,0.1046547483850768,0.7318064783065003,0.6984673384433202,0.6012173496529974,0.4268345818351973,1.0419070512820512,0.0616565565269194,0.4
9,hierarchy,410,220,204,16,0.796875,0.203125,0.0727272727272727,0.9377576965105696,0.8340967556350689,0.6273276119820463,0.4273781710471659,1.314102564102564,0.0340466704649748,0.0,0.64560546875,0.35439453125,0.0006099520471869,0.35390625,0.1015873807452854,0.7427120874438992,0.6944043960936905,0.6689598306631109,0.4655683052735031,1.06650641025641,0.0606245706706441,0.0
9,delegated,428,197,179,18,0.69921875,0.30078125,0.0913705583756345,0.9278094742299944,0.8353253620860287,0.4328539261672827,0.2860265986975591,1.3717948717948716,0.0384176779158572,1.0,0.62822265625,0.37177734375,0.0304448634091128,0.348828125,0.1756686803149097,0.7444541506957731,0.6984158943483274,0.4776628614818524,0.3337652437222441,1.0742788461538462,0.0538654875491429,1.0
9,adaptive,423,199,186,13,0.7265625,0.2734375,0.0653266331658291,0.9264262386041954,0.8332383692844284,0.4344959337042796,0.2968377419113132,1.3557692307692306,0.0669580143561405,1.0,0.6208984375,0.3791015625,0.0190308839968953,0.36435546875,0.1098133043724929,0.7364455984984921,0.6938144650981645,0.6042123704573323,0.4316162812678403,1.047996794871795,0.0604853232375436,0.3791666666666667
10,hierarchy,418,221,207,14,0.7840909090909091,0.2159090909090909,0.0633484162895927,0.9275943090692208,0.8349664434444789,0.62448185575023,0.4182583873297927,1.3397435897435896,0.0357559548810361,0.0,0.6236742424242424,0.3763257575757576,0.0044647994627891,0.3729166666666667,0.0984773881372458,0.7316105911101684,0.6953940397621813,0.6720772230073863,0.457516884152647,1.0403846153846152,0.0723826837162824,0.0
10,delegated,410,191,178,13,0.6742424242424242,0.3257575757575758,0.0680628272251308,0.9140052194350504,0.8375540081548164,0.4386610942372444,0.2695712138991127,1.314102564102564,0.0552856301514516,1.0,0.6017045454545454,0.3982954545454545,0.0450706902247928,0.3660037878787879,0.1655357533888032,0.7385419504736974,0.7043388001713946,0.4785757158758043,0.3170039385300733,1.0635416666666666,0.0546804525129685,1.0
10,adaptive,408,196,185,11,0.7007575757575758,0.2992424242424242,0.0561224489795918,0.908114031120954,0.8340560391972098,0.438720751821102,0.2921643114324339,1.3076923076923077,0.0698149645590903,1.0,0.5884469696969697,0.4115530303030302,0.032990231483779,0.3870265151515151,0.1059660002778335,0.726117203859307,0.6965978221418951,0.610226648093559,0.4233266686104747,1.0310897435897437,0.0648975414574878,0.3583333333333333
11,hierarchy,385,181,163,18,0.7342342342342343,0.2657657657657657,0.0994475138121546,0.8950242366542203,0.7916393267388654,0.6391348157265596,0.4326959676381716,1.233974358974359,0.0763839948031698,0.0,0.626463963963964,0.373536036036036,0.0,0.373536036036036,0.1217518647491596,0.7094694586940887,0.6652436163634747,0.6798173405994234,0.4687649379003982,0.9782852564102564,0.0770737282175406,0.0
11,delegated,393,195,171,24,0.7702702702702703,0.2297297297297297,0.123076923076923,0.898264279874538,0.7937682639469149,0.4446878058742259,0.2772471733240825,1.2596153846153846,0.0298177188729793,1.0,0.6351351351351352,0.3648648648648648,0.0108112406441133,0.3567567567567568,0.2374977793092568,0.7169603732145389,0.668629491090239,0.4848231244448858,0.3253525529276662,1.0162660256410256,0.062812688825099,1.0
